path,size_bytes,sha256,extension,is_pe,signed,digest_match,chain_verified,signer,issuer
BINx64/tmq.exe,23080,0b7c6feba7f53289664dd4ecfb9e7cb32895a76ff293e4b9c805a506e2d09bad,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/tmqbase.lib,229812,c644f1d97841d65a7079dd56e1ef82955fa495147c6d4b45e3acbda1ccdf7e05,.lib,,,,,,
BINx64/tmqsite.dll,70712,8f98694e714eb53e46ae61169e84de1745814159b09f471c958a624a4ba7e2e4,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/tmqstate.dll,164408,82d2ae41d0bd71179d389c0e7e683fa9831ffbc55277ae91330f401b05443a0e,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/tmqstore.dll,70216,645dd5c26ba2e3359e29b1b20805a0e4c9a5a33ddf3d6b95f4f8acb0d0c56ce5,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/tmqtry.dll,55856,2db7d610ddfc1ab56f03e3a336a5433054a37be4b4c62f11ed338f95c2ed3583,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/vshadow.exe,352296,351db0e4f8f358f94001c2e5a644b2c6dd96290ee8dcc1236de8f4dc60efca9c,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/vssagent.exe,608816,21aa8de4b4ce88eb402c9bc70cdd592d30e77a284957ba7366e7e7e8c08543a3,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/vsstrace.exe,64048,6fb1bf88b7c3d7bdc442503cd9f98a5a550961f73fbfaceb46020b4c1ec7d00d,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/xbootmgr.exe,198696,a619ae7266e7969c83d52b787ac1f1e7a9183855783bf251fa1703e63501a3ed,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/Checksym.exe,162336,560fc11d9a1fa51df69146d8362317b6da42e66499433ca0b147c642143952df,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/NTttcp.exe,72224,b89f58bcc4c9ac5231e0e1e7b18317cefbaf4cffe7675713bba766dd8d605e32,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/PsGetsid.exe,413728,d80a9b93c65c096bf4a96c64a6d9163d02b09cd965ea7cd6d5ab49b73b5e8aa4,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/Pstat.exe,25112,6999d92102f379926470dd775deada77891b15db4b7715f7a3c489236cc04f6b,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/RecorderCommandLine.exe,134176,b85f1632b7e7959ae4d9670a2d07aae85dc700435bb1917435bdfe11f4b99602,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/RecorderDll.dll,124448,11101301eae9c998bf8b6a8e436b5e95534443233a6a637d8b7adf21981ba452,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/SdkDll.dll,167976,3a00c80200dd1a20c732cd4a6fcad548259cd03348e4903e1ead2d932da559d8,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/cscdbdump.exe,218656,fcf5a3012241b510fd5ff8c531963220827cb8408d6d60e4b0b076277de4477e,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/dfsutil.exe,315952,01b63e358b353c4a1dd2b54107360ccbe1ef4e53f2927d01c9b4cf390b14fbb6,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/dpmcmd.exe,187440,54cc03bdb6132adc129f9cbd723a65d3a46ed4cdbb5234d10c7e78066c1e01ab,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/du.exe,360992,44284374d3d06bb5468508c43649187dca2cc0b7c97e5f149ca904b8879ed0b2,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/evparse.exe,262688,ef4551ecb9d1718ee5c8c36d58a49a1f2457a109da323267e989d35ac7451ded,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/fcinfo.exe,84512,a0ab07fc2d890bf89c1266def11ece0f0b71b41c66b0ba92afefcac849096997,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/get_dependencies.vbs,17922,edbf87c61c6c53526977c60734c594b6cb09cc637cfa3416de2ef2fa950875ab,.vbs,,,,,,
BINx86/hbaapi.dll,49704,298e0db66e4da892e9a6c00d6b87be5642f5557d09a977c6e34b9f1a28cb9852,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/hbatapi.dll,34848,cd0f79a4ca4c3900e496bb9e0a5bd674f6cfc6cd2a4ab9b11fcdf1ece337956c,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/notmyfaultc.exe,870248,9acea6cb854838f6a013028e42faf1e072e17e417160be6411512dea83f0ae1b,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2024,O=Microsoft Corporation,C=US"
BINx86/vshadow.exe,244768,34c072acccbbd7d90597d3f4033fa732c8a2c93b85e6808d939feda084b34d7e,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/vssagent.exe,383048,7fb4058ce965ac9c34857a2e0be4f620e3c6027e25591a6349cce16b8cbe2e1c,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx86/vsstrace.exe,60488,a223e50950e01f24c7bebb814297164939290dae199b6d1de9c868d62d02fd60,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
TSS.ps1,1430923,c5296287bc87e4e5783388d4136e34ef2394dfcf0a333b9979c354ac296604f7,.ps1,,,,,,
TSSGUI.ps1,207084,e575a8a2707f9866594d747c440af9f9067e745f7684d0d3ec18bd401ecf4c2b,.ps1,,,,,,
TSS_ADS.psm1,190679,db3fe8cb78c7db68eb502d4a0c3b3643067ff67fea9b255c0835948bfcb4de00,.psm1,,,,,,
TSS_AUT.psm1,123216,13398e20921c57e95439da524e071ac32d3b7166b772b76d0e03559a245be236,.psm1,,,,,,
TSS_CRM.psm1,24101,1e59f49f5369db5162536a3ee3281475d7baf4c16424340d9f802e7d874318b2,.psm1,,,,,,
TSS_Containers.psm1,50547,0cf53356593eded038da5ab44c5a2d1dcb2e12c0ea50f41c237f69edb24b0fec,.psm1,,,,,,
TSS_DEV.psm1,45705,61874359ac66c73102e5114cded5fb132b53ee9846f0836de7792414584d215c,.psm1,,,,,,
TSS_DND.psm1,375965,59ae0828efcdfdcc40c47dbcb07cd3035941dc9d26f3d7f19ada9a226477b89a,.psm1,,,,,,
TSS_INT.psm1,24863,e14c96213226a9d42481632aec3b86ca3bf7baa3ceb2748863a424366d196f6a,.psm1,,,,,,
TSS_ITN.psm1,32865,720c735e4c3c6a7915d6ed7820e0ed6be5462aa102a506ff87c658be099fb591,.psm1,,,,,,
TSS_MCM.psm1,467060,762706fe6ed9e103aa9d6d1aefd35f2b28074c327fb741e0fa9ed97ed8b49f50,.psm1,,,,,,
TSS_NET.psm1,333911,f0ed5ad741ef5495937e019dfdda74f2a87352d418aa563d0db4c6ad5e670fdb,.psm1,,,,,,
TSS_PRF.psm1,132518,c99e16a83e0c2339203e1717aba6dd2200ecd7e194b57c4764e8693f2c4d1a19,.psm1,,,,,,
TSS_SDP.psm1,684325,c6cf7d6fddbb47208fba40fa009e9853533a590555c6b4e6d8f057ce569c42a6,.psm1,,,,,,
TSS_SHA.psm1,255283,5151c389f5ab0591e481d7473af004a452ea159310e66c2a309189abedd5794b,.psm1,,,,,,
TSS_SPS.psm1,26189,d5f54863af91980f04b08307eb4e5d3203c5c7ae43f0946190dd21e97f68f915,.psm1,,,,,,
TSS_UEX.psm1,260694,e35a02d88cfd9c2553c86f19fe98fb0501bb50a51241b96268c0212f2f704b0f,.psm1,,,,,,
config/Bad_video_resolutions.txt,66,b8c894cc4c20f66035b93de7efad379e72303381166bb3bafea280c7052e5b22,.txt,,,,,,
config/ContainerProviders.wprp,66539,4840ea66beb47659dd02dd6c6ab1055eeec2f94a38531ba673fd2b49a3ab2e40,.wprp,,,,,,
config/DND_audio-glitches-manual.wprp,83766,2e9ce0e673ee61812a11e55d3d42d48653b199a5f165f4d8f93ba8eab0c0f1d4,.wprp,,,,,,
config/DND_audio-info-manual.wprp,61536,76057d4a59fd0e3efddda0b3ea555546f1685a0f436298a9eeb1b508a5d05447,.wprp,,,,,,
config/DND_usb_buses-all-profile.wprp,46013,e294e21d28a427fe6f9894fe441d078c5bef51e2d4d8a45d7eed01be5c49090c,.wprp,,,,,,
